epoch,accuracy,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,0.04571191966533661,5.827169895172119,0.14376680552959442,0.06374587118625641,3.8849716186523438,0.1392708718776703
1,0.05177862569689751,5.609744548797607,0.16256889700889587,0.05505809560418129,3.7866735458374023,0.16640016436576843
2,0.05333057418465614,5.452638149261475,0.16878609359264374,0.06012152135372162,3.813352346420288,0.161336749792099
3,0.058033447712659836,5.288955211639404,0.18006357550621033,0.08213409781455994,3.6703743934631348,0.22625519335269928
4,0.0606200285255909,5.20711088180542,0.187428280711174,0.09284724295139313,3.6288671493530273,0.2190597951412201
5,0.07846272736787796,5.108274459838867,0.21782764792442322,0.12120243161916733,3.5581135749816895,0.26601642370224
6,0.09700144827365875,4.989304065704346,0.24845275282859802,0.1375119984149933,3.416553497314453,0.3041253685951233
7,0.11300062388181686,4.805953502655029,0.28188076615333557,0.15920478105545044,3.290816307067871,0.3494829833507538
8,0.13051411509513855,4.60390567779541,0.3154216706752777,0.1444408893585205,3.197960376739502,0.3669118285179138
9,0.1381986141204834,4.3774309158325195,0.3344212770462036,0.17039760947227478,3.13240385055542,0.3827417194843292
10,0.14450986683368683,4.12276554107666,0.34851107001304626,0.17865899205207825,3.087466239929199,0.4069928526878357
11,0.1518087238073349,3.8888463973999023,0.3627795875072479,0.1907046139240265,2.977123737335205,0.43939879536628723
12,0.16176940500736237,3.6903748512268066,0.3852781355381012,0.19251678884029388,2.927370548248291,0.4629570543766022
13,0.1689836084842682,3.5323033332824707,0.393461138010025,0.24421703815460205,2.834287166595459,0.5101268291473389
14,0.17679038643836975,3.4057250022888184,0.41479334235191345,0.2279074788093567,2.8276150226593018,0.5069289207458496
15,0.18609265983104706,3.2799110412597656,0.4289396107196808,0.22295065224170685,2.82214093208313,0.5012791752815247
16,0.194172203540802,3.1745004653930664,0.4409036934375763,0.24187186360359192,2.774785280227661,0.51444411277771
17,0.20351210236549377,3.0779757499694824,0.4541187882423401,0.2578083276748657,2.7239067554473877,0.553778886795044
18,0.20626798272132874,2.9909095764160156,0.45551082491874695,0.25477027893066406,2.7440133094787598,0.528515100479126
19,0.21837317943572998,2.889925718307495,0.469845175743103,0.2829655706882477,2.675250768661499,0.5672636032104492
20,0.2227562665939331,2.828455686569214,0.4785172641277313,0.29938173294067383,2.64182710647583,0.5771239995956421
21,0.22776012122631073,2.763087749481201,0.48727402091026306,0.2825924754142761,2.687074661254883,0.5445581674575806
22,0.23207736015319824,2.685952663421631,0.4918828308582306,0.32299327850341797,2.5916686058044434,0.5838396549224854
23,0.23958313465118408,2.6171023845672607,0.5003762245178223,0.31323951482772827,2.580341339111328,0.5910883545875549
24,0.24460580945014954,2.5604119300842285,0.5043454766273499,0.32496535778045654,2.572126865386963,0.5944462418556213
25,0.25131210684776306,2.5007193088531494,0.5114844441413879,0.326191246509552,2.55826735496521,0.5934335589408875
26,0.25538480281829834,2.4405205249786377,0.516507089138031,0.32933589816093445,2.5333285331726074,0.6044664978981018
27,0.25934460759162903,2.4039037227630615,0.52320396900177,0.3403688371181488,2.5459330081939697,0.5990832448005676
28,0.26429203152656555,2.3491687774658203,0.5275588035583496,0.33370643854141235,2.555861234664917,0.5814945101737976
29,0.26827067136764526,2.3002612590789795,0.5313117504119873,0.3438332676887512,2.5234038829803467,0.600682258605957
30,0.2689572870731354,2.2844326496124268,0.5336631536483765,0.347297728061676,2.4956212043762207,0.6128344535827637
31,0.27201414108276367,2.211811065673828,0.5356665849685669,0.35076218843460083,2.4861104488372803,0.6100096106529236
32,0.2737354040145874,2.1860694885253906,0.5409526228904724,0.3581707775592804,2.467956781387329,0.6289840936660767
33,0.2793318033218384,2.13663911819458,0.5478094220161438,0.3517748713493347,2.4652743339538574,0.6160857081413269
34,0.2788427174091339,2.1220734119415283,0.5472638607025146,0.35859715938568115,2.436819076538086,0.6306896805763245
35,0.28759005665779114,2.079629898071289,0.5571587085723877,0.35401344299316406,2.4395673274993896,0.6303166151046753
36,0.2874583899974823,2.047290563583374,0.5558325052261353,0.34074193239212036,2.487210988998413,0.6120349764823914
37,0.2908726632595062,2.0143237113952637,0.5595383644104004,0.3581707775592804,2.411095380783081,0.6366059184074402
38,0.2958388924598694,1.9728446006774902,0.5642036199569702,0.36382049322128296,2.409836769104004,0.6353800296783447
39,0.2985007166862488,1.9512730836868286,0.5658308267593384,0.3770386874675751,2.3686420917510986,0.6491312384605408
40,0.3035045862197876,1.9175626039505005,0.5724994540214539,0.37458693981170654,2.39400577545166,0.6427353024482727
41,0.3086589276790619,1.8827797174453735,0.5781993865966797,0.3722950518131256,2.3718342781066895,0.6444941759109497
42,0.31034255027770996,1.8668140172958374,0.5827047228813171,0.375972718000412,2.3760159015655518,0.6458799839019775
43,0.3179612159729004,1.8413288593292236,0.589213490486145,0.384607195854187,2.3613054752349854,0.6557403206825256
44,0.3127504289150238,1.8282314538955688,0.5892511010169983,0.3677646219730377,2.368952989578247,0.6483317613601685
45,0.31601423025131226,1.7906595468521118,0.5899283289909363,0.38418078422546387,2.3303725719451904,0.659417986869812
46,0.3206888735294342,1.7687313556671143,0.5954400897026062,0.3802899420261383,2.324037790298462,0.6598443388938904
47,0.3211309611797333,1.7433761358261108,0.5960232615470886,0.38865792751312256,2.351804733276367,0.6569662094116211
48,0.32853326201438904,1.71071195602417,0.6035760641098022,0.3892975151538849,2.316086530685425,0.6630955934524536
49,0.33227676153182983,1.7048993110656738,0.6051186323165894,0.4015030264854431,2.2928802967071533,0.6698645949363708
50,0.33722418546676636,1.67006516456604,0.609219491481781,0.41003090143203735,2.281729221343994,0.6738620400428772
51,0.33721476793289185,1.6452566385269165,0.6115333437919617,0.4025690257549286,2.288698434829712,0.6751412153244019
52,0.3392934501171112,1.6297783851623535,0.6113734245300293,0.39675942063331604,2.3050971031188965,0.6729027032852173
53,0.3413815200328827,1.6114754676818848,0.6164713501930237,0.4169065058231354,2.259167194366455,0.6836690902709961
54,0.3463665544986725,1.5710397958755493,0.6225850582122803,0.4158405363559723,2.2659566402435303,0.6745549440383911
55,0.3499031066894531,1.5642679929733276,0.6241087913513184,0.41520094871520996,2.264390707015991,0.6834559440612793
56,0.35359957814216614,1.5605546236038208,0.6250023245811462,0.40736594796180725,2.267117738723755,0.6806843876838684
57,0.35201001167297363,1.527222752571106,0.6274384260177612,0.4068329632282257,2.273505210876465,0.6815371513366699
58,0.35706087946891785,1.5078977346420288,0.6312477588653564,0.42223644256591797,2.2407009601593018,0.685801088809967
59,0.35950639843940735,1.499610424041748,0.6292255520820618,0.4237288236618042,2.2466514110565186,0.682283341884613
60,0.3591489791870117,1.4859960079193115,0.632423460483551,0.41450804471969604,2.2410500049591064,0.6873467564582825
61,0.3638424277305603,1.4605627059936523,0.6378600001335144,0.41541412472724915,2.236271858215332,0.691077709197998
62,0.3624691963195801,1.4522360563278198,0.6382174491882324,0.42783284187316895,2.213012933731079,0.6980599164962769
63,0.36354145407676697,1.4261596202850342,0.6394872069358826,0.42335572838783264,2.213691234588623,0.6938492655754089
64,0.36807501316070557,1.4040260314941406,0.6414247751235962,0.4227161407470703,2.2126829624176025,0.6922503113746643
65,0.37068042159080505,1.3993583917617798,0.6444063782691956,0.43204349279403687,2.208390951156616,0.6978467106819153
